0_Der_avg,Blink_Averaged,Time_Average,1_Der_avg,3_Der_avg
8.936053721,0,42.4252,21.78580672,-2.118028474
-0.587049915,0,42.4734,25.68859161,22.45110731
8.134671955,0,42.5244,1.973936468,-5.040864212
66.32160776,0,42.5752,49.81085315,75.48329818
-54.97436812,0,42.6234,-67.55733821,26.81627024
-137.7206117,0,42.6744,-157.2150516,-117.2625299
-41.10688674,0,42.7252,-10.32062833,-102.0398582
-3.952912294,0,42.7734,-19.86112574,-63.47288715
5.508383897,0,42.8244,-27.36758403,6.534884476
65.52099535,0,42.8752,102.5102222,73.44117412
69.80235655,0,42.9234,53.69016899,29.36063278
-54.31286125,0,42.9744,-117.1541969,-78.45375
-22.29217839,0,43.0252,9.287677655,20.95998444
95.14799656,0,43.0734,124.0916001,116.0196266
3.958511555,0,43.1244,-52.29155987,15.70456342
18.59829506,0,43.1752,-16.72357488,16.21928329
-20.4440192,0,43.2234,-3.498520327,10.98200201
-89.43193206,0,43.2743,-65.13075555,20.94555329
164.8959559,0,43.3239,124.3477219,9.487046411
1535.84135,1,43.3748,1374.743074,222.9936101
1132.350422,1,43.4281,1069.421281,379.986393
-1310.526881,0,43.4739,-1155.689808,-139.4218537
-1624.431268,0,43.5248,-1503.798085,-444.275757
-716.2142275,0,43.5743,-693.4758252,-286.160445
-140.0019778,0,43.6239,-131.7320919,-77.23388251
98.22281524,0,43.6748,85.74135955,2.162986764
163.2269806,0,43.7243,105.970145,32.65942976
48.54566826,0,43.7739,26.24642791,51.81901667
8.474728125,0,43.8248,2.33120208,-5.29331208
92.86138849,0,43.8743,92.59094353,18.83176399
10.32727526,0,43.9239,73.97360285,13.12862692
31.8009186,0,43.9755,59.05541309,31.90067296
111.9626226,0,44.0242,74.28623267,86.47397124
99.24713227,0,44.0739,56.23714661,58.02211436
118.1922082,0,44.1248,95.50404144,46.83805416
-5.5720707,0,44.1743,15.85868687,4.166777778
-99.28725948,0,44.2238,-86.97439268,-63.33841982
25.14064823,0,44.2766,-37.94118285,-72.9782791
55.81785994,0,44.325,56.94240756,-69.37416174
6.97357359,0,44.3752,23.88445541,-51.58375353
-9.380773495,0,44.4234,-52.33180144,-8.789439183
25.7951613,0,44.4744,-14.78083708,-1.4683436
71.96196177,0,44.5252,62.67115108,-9.892535123
24.35072203,0,44.5734,30.27425287,2.810181027
-32.17310982,0,44.6244,-36.93190806,4.078119693
14.49094034,0,44.6752,25.79941604,30.99608896
55.13475799,0,44.7272,77.57599234,32.31691265
27.67457487,0,44.7744,73.51503038,44.70226446
17.41906053,0,44.8288,50.07075696,107.0863097
-10.79484458,0,44.8736,-14.1993106,45.68834782
-37.92809412,0,44.925,-8.383863147,-16.92237149
-20.1916204,0,44.9752,9.733197294,15.43234766
-19.67478984,0,45.0234,-63.94527244,-17.38217659
-38.12531056,0,45.0744,-80.82422333,-38.78054192
-59.20534437,0,45.1252,-64.98165836,-77.40763918
-28.61183908,0,45.1734,-64.72347182,-70.07148361
42.45615714,0,45.2243,8.56496756,8.941333537
-14.12359729,0,45.2739,30.16307169,-49.43124014
12.21017411,0,45.3248,68.48655397,2.363574746
23.12921494,0,45.3743,50.64026656,64.39058101
-39.3712244,0,45.4239,-45.4216214,-13.41023342
11.78758086,0,45.4748,37.49787972,12.20989264
52.00330122,0,45.5243,70.61401725,62.94749501
151.3509856,0,45.5739,105.2800472,99.77510728
419.1658056,0,45.6248,354.2083733,143.9398648
1730.410099,1,45.6743,1692.179769,316.4711786
831.0578215,1,45.7277,825.5440789,173.2687337
-1661.234116,0,45.7748,-1597.404589,-238.0863439
-1572.484414,0,45.8243,-1486.057351,-290.748759
-794.9640781,0,45.8808,-746.230048,-136.8681518
-273.4998746,0,45.9227,-244.5813552,-72.6847439
32.00394779,0,45.9743,-13.60124109,-189.5005958
92.46894073,0,46.0239,80.23881825,-119.4995782
114.6305601,0,46.0748,138.1645531,1.493656367
153.427567,0,46.1243,117.3607348,85.96184348
133.6220472,0,46.1739,107.356756,61.53963571
50.72981537,0,46.2233,54.2950851,-20.28064923
71.59713421,0,46.2782,66.12809927,90.9374715
17.5030192,0,46.3252,34.08105187,77.71233054
-34.46075698,0,46.3734,-1.165203035,36.65042649
-16.27441435,0,46.4244,16.20526675,9.473864675
-30.71058193,0,46.4752,-23.1716392,-21.84725012
62.08171617,0,46.5268,7.756316038,33.40902246
139.956993,0,46.5744,141.4096088,81.22206982
50.77762613,0,46.6252,69.12382899,43.99435076
23.47254629,0,46.6734,16.73432455,-16.23608181
46.71254813,0,46.7244,41.51658808,-9.156505404
80.11613992,0,46.7752,56.32691799,-44.27788958
146.1686878,0,46.8268,105.3473033,-7.086991539
144.5546029,0,46.8716,44.23518864,12.79507953
-152.6380422,0,46.9288,-149.6135056,-78.88673967
-281.1391721,0,46.9736,-201.5157695,-48.17063572
-68.79429136,0,47.0244,-63.08873031,-29.90814961
13.15441186,0,47.0752,-21.37678623,-5.145995565
-24.01734131,0,47.1234,-15.019536,40.90992527
-13.77151794,0,47.1744,4.687418909,66.24041958
28.20703108,0,47.2238,29.95374244,55.06105684
-41.94820767,0,47.2748,-4.572427213,-0.475759953
-129.5397509,0,47.3243,-69.25638661,-24.56045195
-13.1215208,0,47.3808,-40.92258371,-26.69893736
63.80298147,0,47.4227,36.60838423,-48.4525796
-8.182904782,0,47.4743,26.88619708,-22.01013407
58.3959531,0,47.5255,35.35493839,50.8184842
136.7108708,0,47.577,85.77087397,35.82693399
-24.91287375,0,47.6243,-10.9766668,-121.3103169
-54.04796655,0,47.6739,-11.57975705,-138.2297404
171.5683101,0,47.7248,148.5414308,25.63276416
151.4780306,0,47.7743,147.6875185,62.97191993
63.63131193,0,47.8239,35.7772763,36.36193572
4.800816635,0,47.8748,-8.628555298,42.04550064
-91.88639247,0,47.9243,-63.55774692,18.56209315
-53.95022482,0,47.9739,-38.44130361,47.40938229
-24.35393336,0,48.0248,-38.52984962,-22.21557955
-152.1333133,0,48.0743,-169.1836595,-84.36577309
-151.3050366,0,48.1247,-96.84189716,-15.16950278
30.91323942,0,48.1748,15.49806885,25.63761124
71.8415864,0,48.2229,29.65716107,63.72446709
294.2870959,0,48.2752,344.2991836,85.53511562
1692.486505,1,48.3234,1694.181343,296.2569327
2053.393557,1,48.3744,2012.492041,437.1876914
-641.0331035,0,48.4252,-616.8505061,-68.66269563
-2344.39768,0,48.4734,-2249.684037,-510.686593
-1502.775639,0,48.5244,-1414.29233,-338.3668304
-536.8763723,0,48.5752,-523.6933657,-163.5729034
-149.5735565,0,48.6234,-185.3849181,-131.0052299
-45.21882795,0,48.6744,-37.52572561,-5.306174888
123.6012535,0,48.7252,119.9961634,99.86890977
216.3131402,0,48.7734,203.3649871,103.7708003
249.7361486,0,48.8244,191.6013827,82.46923309
179.6981017,0,48.8752,143.5120803,53.57789333
-0.39157628,0,48.9234,30.25793288,30.848072
20.09435743,0,48.9744,-0.685377721,14.52562158
109.1107055,0,49.0252,131.847094,20.88255995
136.2417402,0,49.0734,137.7793344,39.86571288
60.36314098,0,49.1244,-12.23351741,-27.2723392
-57.78042495,0,49.1752,-124.089605,-150.5797326
-51.52971955,0,49.2234,-58.62022491,-143.5130204
93.82653917,0,49.2743,67.64102977,-31.28739478
218.4445647,0,49.3239,173.0782793,57.97423587
1388.365635,1,49.3748,1334.694655,259.3510185
1478.278087,1,49.4243,1474.308957,373.4197262
-884.7656534,0,49.4739,-750.4744651,-24.29108242
-1852.440579,0,49.5298,-1745.337481,-295.7509935
-974.6355892,0,49.5741,-929.2547566,-191.5480113
-176.7188818,0,49.6239,-132.5108557,-113.7049906
96.93206085,0,49.6748,147.2613671,5.429057987
125.1139654,0,49.7243,197.8622858,82.30899881
124.4938388,0,49.7777,104.4698245,94.28952844
129.2601765,0,49.8248,61.08806402,51.5932468
214.028089,0,49.8743,171.8590253,24.8096317
202.0901514,0,49.9239,156.142431,8.45478391
48.68243607,0,49.9748,12.5593148,-74.54240335
-70.93763463,0,50.0243,-51.48807586,-64.82926387
0.857611,0,50.0739,-15.19357926,7.038630636
72.93987189,0,50.1248,53.98914306,17.52601572
-5.626216909,0,50.1743,15.87407313,4.692798387
44.974707,0,50.2239,-9.379499192,4.84329029
84.97189774,0,50.2733,49.33934228,3.385722823
53.00952032,0,50.3244,86.20545684,15.86172895
124.0402407,0,50.3752,147.6212486,40.97516193
33.5850742,0,50.4234,27.9461493,11.43722272
-74.3986311,0,50.4744,-96.69092605,-20.75873645
-92.30638165,0,50.5252,-85.35648406,17.32667568
-121.0813192,0,50.5734,-83.59300899,42.49995135
3.57739513,0,50.6244,-23.42933005,77.72329535
-19.47593443,0,50.6752,-24.47811531,14.02096881
-29.24157627,0,50.7272,-4.712654455,-20.78959932
-41.36514087,0,50.7746,-36.54003652,-24.22218004
-30.05211375,0,50.8252,-104.1476825,-170.1535244
50.92388826,0,50.8734,20.16536714,-108.1151465
43.95438683,0,50.9244,65.74006214,10.73804547
86.45428488,0,50.9752,99.71789003,105.9652874
53.16228041,0,51.0234,68.44723965,101.4604086
4.401469932,0,51.0744,-42.36887872,-67.91754612
-6.461920433,0,51.1252,35.74606005,-21.66741534
52.26025669,0,51.1734,135.4454094,116.6739151
-45.1823793,0,51.2244,-11.1952988,28.80679607
-114.3540417,0,51.2776,-122.594768,-47.74784098
29.34763946,0,51.3251,8.675597352,39.99951069
62.69103957,0,51.3744,52.58620118,45.57071547
94.24485658,0,51.4239,87.6729073,43.14807286
46.84140256,0,51.4798,12.26640227,4.491716403
-4.105921405,0,51.5241,-68.4618128,-14.93325222
-55.03257046,0,51.5739,-60.51662355,-6.313921127
-83.27606267,0,51.6248,-65.25893193,-35.01978294
-13.77318245,0,51.6743,-5.052169192,-79.27997348
-107.6106705,0,51.7271,-82.23858186,-103.896329
-11.1312738,0,51.7722,-1.506555958,-16.07720242
679.0464958,0,51.8243,660.2025412,109.0488031
1935.754484,1,51.8739,1839.955413,328.8846215
301.0442125,0,51.9248,289.1596878,119.9821028
-1916.231996,0,51.9743,-1777.463064,-260.427932
-1275.548831,0,52.0239,-1127.797653,-182.4525102
